,next_session_return,intraday_return_1min,intraday_return_5min,intraday_return_15min,intraday_return_30min
opening_minute_volume,0.011357936015685587,0.02042790901666043,0.04759540209484728,0.05702431461439291,0.05397312322400388
surprise_x_gap,0.01082732210172038,0.06083363175485252,0.004482029483914511,0.009786533818387426,0.002242193301089376
market_cap_billions,0.010256296671877808,0.0021006601352321313,0.007972900268678073,0.0036318514276343066,0.0022315642274555927
market_cap,0.01025629667187776,0.0021006601352321166,0.007972900268678028,0.0036318514276342953,0.00223156422745559
open_price,0.009264179812028886,0.0076366779693138554,0.03023987544204359,0.017565149837724506,0.00615148275827179
volume_ratio_7_day_sector_rank,0.00926106479823824,0.05137624166925615,0.027062708832715665,0.013925465130559535,0.008093066773467097
combined_surprise,0.008625192430061953,0.011530181515527779,0.010388547117153264,0.00842693849088833,0.029706296884814937
surprise_large_negative,0.008018245327248022,0.007860159463703085,0.004911861341301969,0.007525068911660495,0.010181654510885768
industry_REAL ESTATE,0.0075057447882899385,0.038762141883335544,0.011924002764609165,0.014396967468069018,0.012877786118795769
sector_REAL ESTATE,0.0075057447882899385,0.038762141883335544,0.011924002764609165,0.014396967468069018,0.012877786118795769
reference_prev_close,0.007149254946959984,0.007573512526830439,0.0260753973001859,0.014921882648488606,0.0031795420283879253
alpaca_prev_close,0.007041425177880758,0.0075023568735447695,0.02603902548382052,0.01487599367583007,0.0031582022138734673
volume_ratio_30_day,0.005525902174446171,0.025649101383432776,0.019503506699251653,0.016067071420054896,0.023397494626009277
day_of_week,0.004207593552717482,0.040138258114535225,0.052475106420725705,0.007652559196792514,0.0157514751696827
surprise_x_premarket_vol,0.003986308582429803,0.000737684472312636,0.016497776496759056,0.02022412209390006,0.04288306305165332
month,0.003509769492109349,0.027763370558225996,0.035011173588924235,0.04367429451396902,0.06741065572895735
earnings_season,0.0035097694921091107,0.027763370558225958,0.03501117358892421,0.04367429451396916,0.06741065572895742
gap_magnitude,0.0018472358607855503,0.07852563400061216,0.03967058848999147,0.06491114564567779,0.06070506156240028
surprise,0.0011457055444198546,0.009018139928973157,0.015665330593243973,0.013364916977173404,0.036397709514197574
surprise_abs,0.0011457055444198546,0.009018139928973157,0.015665330593243973,0.013364916977173404,0.036397709514197574
surprise_rolling_mean,0.0011457055444198546,0.009018139928973157,0.015665330593243973,0.013364916977173404,0.036397709514197574
surprise_large_positive,0.0011391111945194322,0.028185603303148912,0.004095932566983079,0.0013743830464372799,0.02060409724731132
volume_spike_30d,,,,,
volume_spike_7d,,,,,
quarter,,,,,
surprise_lag1,,,,,
surprise_rolling_std,,,,,
volume_ratio_7_day_lag1,,,,,
volume_ratio_7_day_rolling_std,,,,,
pct_change_close_lag1,,,,,
pct_change_close_rolling_std,,,,,
intraday_return_1min,,1.0,,,
intraday_return_5min,,,1.0,,
intraday_return_15min,,,,1.0,
intraday_return_30min,,,,,1.0
