,alpaca_prev_close,close_price,earnings_time,high_before_low,high_price,low_price,market_cap,open_price,opening_minute_volume,pct_15min,pct_1hr,pct_1min,pct_30min,pct_5min,pct_change_close,pct_change_high,pct_change_low,pct_change_open,premarket_high,premarket_low,premarket_volume,reference_prev_close,revenue_surprise,sort_key,surprise,volume_30_day_avg,volume_7_day_avg,volume_ratio_30_day,volume_ratio_7_day,premarket_range,premarket_midpoint,premarket_gap,open_gap,premarket_volume_normalized,market_cap_log,market_cap_billions,opening_volume_log,volume_30d_log,volume_7d_log,volume_spike_30d,volume_spike_7d,intraday_vol,intraday_range,early_momentum,momentum_acceleration,direction_consistency,high_vol_regime,surprise_abs,revenue_surprise_abs,surprise_large_positive,surprise_large_negative,combined_surprise,surprise_mismatch,earnings_bmo,earnings_amc,month,quarter,day_of_week,is_monday,is_friday,earnings_season,high_low_ratio,close_position,gap_up,gap_down,gap_magnitude,high_before_low_flag,surprise_sector_rank,surprise_sector_zscore,market_cap_log_sector_rank,market_cap_log_sector_zscore,volume_ratio_7_day_sector_rank,volume_ratio_7_day_sector_zscore,surprise_x_volume_ratio_7d,surprise_x_volume_ratio_30d,surprise_x_premarket_vol,surprise_x_market_cap,surprise_x_gap,surprise_x_earnings_time,volume_x_gap,volume_x_market_cap,premarket_gap_x_volume,premarket_range_x_surprise,high_vol_day,market_return,bull_regime,bear_regime,sector_BANKING,sector_TECHNOLOGY,sector_FINANCIAL SERVICES,sector_HEALTH CARE,sector_ENERGY,sector_REAL ESTATE,sector_ELECTRICAL EQUIPMENT,sector_MEDIA,industry_BANKING,industry_TECHNOLOGY,industry_FINANCIAL SERVICES,industry_HEALTH CARE,industry_ENERGY,industry_REAL ESTATE,data_source_ALPACA,data_source_FINNHUB,surprise_lag1,surprise_rolling_mean,surprise_rolling_std,volume_ratio_7_day_lag1,volume_ratio_7_day_rolling_mean,volume_ratio_7_day_rolling_std,pct_change_close_lag1,pct_change_close_rolling_mean,pct_change_close_rolling_std,next_session_return,full_day_return,intraday_return_1min,intraday_return_5min,intraday_return_15min,intraday_return_30min,intraday_return_1hr,target_1pct_up,target_1pct_down,target_intraday_1pct_up,target_2pct_up,target_2pct_down,target_intraday_2pct_up,target_3pct_up,target_3pct_down,target_intraday_3pct_up,target_5pct_up,target_5pct_down,target_intraday_5pct_up,target_up,target_down,risk_adjusted_return,target_risk_adj_positive
count,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,0.0,1431.0,0.0,0.0,1431.0,0.0,0.0,1431.0,0.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0
mean,86.28435653389238,87.56803256464012,0.559748427672956,0.5373864430468204,90.9952572327044,84.59096345213138,25605.336063648632,88.14884311670161,112178.62194269741,-0.4968453140255261,-0.6020849152459946,-0.24030692548924457,-0.5774587831110014,-0.32119597037558695,2.1060128352745653,3.795336080167359,-4.674199720835782,2.9445730306368816,81.46251621243886,77.88343668763103,201027.8183088749,86.39301236897275,2.3991342431910807,3.862139650112856,46.75016233446244,2233088.9719647863,2161616.500116469,0.04771662001411714,0.0482165018864301,0.2524574556739149,79.67297645003494,7.54137012705274,0.029445730306368816,9.323260385344184,8.102164747561668,25.60533606364863,9.648821564044317,13.464493475542909,13.419339114866906,0.0,0.0,1.8946282309914357,4.648253243230243,8.385432815570676,-9.301303289092447,0.44206848357791756,0.2501747030048917,46.75016233446244,4.764961579397804,0.19986023759608665,0.19986023759608665,24.574648288826765,0.39273235499650594,0.44025157232704404,0.559748427672956,7.587700908455625,3.0,2.5108315863032846,0.027952480782669462,0.20475192173305382,0.41229909154437455,1.091735909053693,0.4678049721330406,0.6470999301187981,0.2529699510831586,0.056665432010690804,0.5373864430468204,0.5157232704402516,-0.001221842057056008,0.5157232704402516,-1.0735830817309867e-05,0.5157232704402516,-0.0010130798145610426,3.343092625674727,3.155367021219403,447.11578197626835,328.0322466001676,2.2777204575925123,17.514019267443523,0.004978668585014319,0.37405197820581504,69.89117899886867,23.34600172464464,0.3004891684136967,2.1060128352745653,0.3913347309573725,0.3668763102725367,0.09014675052410902,0.08665269042627533,0.06918238993710692,0.06289308176100629,0.05660377358490566,0.04891684136967156,0.04053109713487072,0.03843466107617051,0.09014675052410902,0.08665269042627533,0.06918238993710692,0.06289308176100629,0.05660377358490566,0.04891684136967156,0.9944095038434662,0.005590496156533892,,46.75016233446244,,,0.0482165018864301,,,2.1060128352745653,,-0.007870872935709795,0.02106012835274565,-0.0024030692548924456,-0.003211959703755869,-0.00496845314025526,-0.005774587831110013,-0.006020849152459947,0.352900069881202,0.45143256464011183,0.34311670160726765,0.283717679944095,0.3668763102725367,0.2543675751222921,0.20894479385045422,0.296995108315863,0.19077568134171907,0.12508735150244585,0.18867924528301888,0.1069182389937107,0.44654088050314467,0.5471698113207547,0.06360098765687763,0.44654088050314467
std,197.54262620513836,199.0177157406418,0.4965908317212713,0.49877460000113305,203.78481028397422,192.61173495883028,172707.92352721634,197.809980976495,384492.146844371,4.310470132954808,5.183201018041042,1.8939607376228471,4.929461268564119,3.362085621490122,10.06223720958319,4.036212560653718,4.704290400507386,8.060823395081357,185.91256849889078,182.1691677906588,1100217.0888140767,197.50825465343468,9.263133358970594,4.58565134503676,82.40368840303023,6215935.257589115,5595450.753653066,0.07728189562765382,0.07024335650244627,7.119582853362581,184.00036846167396,266.6867229600779,0.08060823395081355,2.255174639206689,1.8979821355486202,172.7079235272163,2.0670751389823216,1.5125325992900187,1.596382981657592,0.0,0.0,1.5011701338356378,3.6058759894686796,1012.9504549736212,320.6900290012777,0.37894542412801213,0.43326493156733575,82.40368840303023,8.2972750606829,0.4000349390750546,0.4000349390750546,42.20042278815053,0.48852884368608296,0.4965908317212713,0.4965908317212713,0.49242054911932576,0.0,1.0940340793238057,0.16489433100530648,0.4036612916965615,0.49242054911932587,0.06387828733050302,0.3037251422326205,0.47803901932060117,0.4348658483825077,0.06443700896212595,0.49877460000113305,0.28981560231532816,0.9847115359743913,0.289821304184339,0.9844946295041626,0.289821304184339,0.9846199088127389,13.849944026260491,13.529190588105754,849.5644674010474,561.394480773416,10.692282774075604,53.28048066388846,0.017767466737332396,0.5223626562246466,2470.8820190589768,712.1130917961432,0.4586310258689306,1.66002081784319,0.48821965040099763,0.48212085150860595,0.28649200819030896,0.2814237856398699,0.253852750936838,0.24285542425888829,0.2311647224574438,0.2157695952970007,0.1972701749742973,0.19231038002744713,0.28649200819030896,0.2814237856398699,0.253852750936838,0.24285542425888829,0.2311647224574438,0.2157695952970007,0.0745863934738232,0.07458639347382322,,82.40368840303023,,,0.07024335650244627,,,10.06223720958319,,0.061704718424992124,0.1006223720958319,0.018939607376228473,0.03362085621490122,0.04310470132954808,0.04929461268564119,0.05183201018041042,0.4780390193206012,0.4978095819586557,0.4749160393302894,0.4509590572198319,0.48212085150860606,0.435657370549754,0.40669700293327093,0.45709410437652215,0.39304997012667603,0.33093358520845934,0.3913903884937699,0.3091172966701684,0.4973077007263628,0.4979440512115366,2.620192429409227,0.4973077007263628
min,0.0,0.0038,0.0,0.0,0.0043,0.0037,2.1323285,0.004,100.0,-19.237147595356557,-21.71717171717172,-12.222222222222223,-23.870646766169145,-13.848396501457728,-27.40870492012259,0.0,-31.840796019900488,-31.704501731435165,0.29,0.2393,100.0,0.0039,-21.264435415407974,0.0,1.0558069381598802,5700.5,1844.857142857143,2.498869524366307e-05,3.428632188797893e-05,0.0,0.26465,-0.9813963516460642,-0.31704501731435164,4.61512051684126,1.141776657685975,0.0021323285,4.61512051684126,8.648484577097413,7.520699024666907,0.0,0.0,0.0,0.0,-11755.386565272487,-11515.35380507343,0.0,0.0,1.0558069381598802,0.0,0.0,0.0,-9.845082226224086,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,-1.115557415129752,0.007751937984496124,-3.324143237959877,0.007751937984496124,-1.8404487686235336,9.300740464740163e-05,6.778603134309464e-05,5.027936281083608,6.3002200323824304,-68.13551648683318,0.0,0.0,0.00032942729762252003,-9.092747710907604,0.0,0.0,-0.6922801159357338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0558069381598802,,,3.428632188797893e-05,,,-27.40870492012259,,-0.24761904761904763,-0.2740870492012259,-0.12222222222222223,-0.13848396501457727,-0.19237147595356557,-0.23870646766169146,-0.2171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7008272226987379,0.0
25%,16.165,16.799999999999997,0.0,0.0,17.365000000000002,16.015,904.3386334188882,17.0,3989.5,-2.4641434127732973,-3.0790967731040464,-0.9964266157603368,-2.8621250986582503,-1.9118662658690906,-2.8797398927627977,0.8489062225258491,-6.468840842209287,-0.5322709163346602,22.0,20.869999999999997,2975.5,16.21,-1.2656006175015957,0.8489062225258491,6.008460128530837,273059.8833333333,269522.2857142857,0.011611980613314362,0.012731823594688435,0.014440548032310468,21.435000000000002,-0.011169360313205406,-0.005322709163346602,7.998502701248774,6.808309042847657,0.9043386334188882,8.291665213639462,12.517450005523369,12.504409747007944,0.0,0.0,0.9356616617724185,2.2859225417702724,-2.275853747049309,-0.9993844455778903,0.0,0.0,6.008460128530837,0.9768008353867932,0.0,0.0,3.177702462016728,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0491136075447893,0.18489017989094458,0.0,0.0,0.015230142184351687,0.0,0.26484746186546637,-0.5016959390687143,0.26484746186546637,-0.6704727740355199,0.26484746186546637,-0.5419371810162137,0.09965852696108708,0.09353335913425315,52.56434468300818,50.623869834870206,-0.0339017527052729,0.0,0.00018094809876832206,0.09605539988612324,-0.09019890837498462,0.10309661623141855,0.0,0.9695150609720737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.008460128530837,,,0.012731823594688435,,,-2.8797398927627977,,-0.037696489405988784,-0.028797398927627976,-0.009964266157603367,-0.019118662658690905,-0.024641434127732974,-0.028621250986582504,-0.030790967731040467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024588663131163542,0.0
50%,37.53,38.7,1.0,1.0,40.3,37.25,3297.187143197857,38.67,16975.0,-0.1578116780641827,-0.3381374722838213,0.0,-0.3912985807136248,-0.1267427122940403,1.3052208835341264,2.5773195876288657,-3.117268678871837,1.9964559952746577,39.8499,38.8,10562.0,37.58,0.7970093449227118,2.5773195876288657,14.272910598252306,775758.7586206896,773580.5714285715,0.02580040301681766,0.026287672973960566,0.03679852805887764,39.32495,0.022667112299465133,0.019964559952746576,9.265112607823163,8.101128245960172,3.297187143197857,9.739555860853764,13.561598161826334,13.558786401002642,0.0,0.0,1.5680374252060305,3.8600723763570395,-0.2608378442375529,-0.09483578027327759,0.4,0.0,14.272910598252306,2.305128870937576,0.0,0.0,8.18119432989683,0.0,0.0,1.0,8.0,3.0,3.0,0.0,0.0,0.0,1.0745980603535292,0.44912747707778744,1.0,0.0,0.035121328224776545,1.0,0.5151515151515151,-0.34969119672942794,0.5151515151515151,-0.003072594779902384,0.5151515151515151,-0.28994344292737273,0.37882785993097207,0.3649502662882136,129.040309711227,116.83825460472747,0.18968623581041386,0.0,0.0007255716157264719,0.2136005073762192,0.1903796219644626,0.4249743148977799,0.0,1.9120041642289418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,14.272910598252306,,,0.026287672973960566,,,1.3052208835341264,,-0.004879408894465475,0.013052208835341264,0.0,-0.001267427122940403,-0.001578116780641827,-0.0039129858071362475,-0.003381374722838213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00448302349716673,0.0
75%,95.25,96.52000000000001,1.0,1.0,99.92,92.545,10908.847104538963,96.71000000000001,61690.0,1.7920312829739515,2.0646504785740203,0.5097001060311128,1.9782375653150819,1.4106392580374028,6.357471402006086,5.2220196864746695,-1.3585826168641408,5.766481394610531,78.34,74.91499999999999,35984.0,95.25,3.8128230952004776,5.2220196864746695,42.32927596530493,1895664.1149425288,1949108.1785714286,0.052239036742512214,0.054311683565563054,0.07219489792103898,76.475,0.08072376913812619,0.05766481394610531,10.4908457735098,9.297420843938125,10.908847104538964,11.029892934732946,14.455080313558748,14.482881843606034,0.0,0.0,2.4290492212733934,6.023368826454787,2.1541233249540648,0.6996599691374896,0.8,0.5,42.32927596530493,4.9971035607759795,0.0,0.0,23.32255251311627,1.0,1.0,1.0,8.0,3.0,3.0,0.0,0.0,1.0,1.1185912267728932,0.7410411863490185,1.0,1.0,0.0757889312311982,1.0,0.7660432395332876,0.02897713753187551,0.7660432395332876,0.6775992479757814,0.7660432395332876,0.19803442176583844,1.520685525923637,1.4133482584142592,387.5394253653865,322.73609031380374,1.4240338387073255,10.312005513168407,0.002764975276014144,0.43099493468818373,0.7959313008106812,1.95007639680006,1.0,2.9073237139072634,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,42.32927596530493,,,0.054311683565563054,,,6.357471402006086,,0.02423423931226084,0.06357471402006086,0.005097001060311129,0.014106392580374029,0.017920312829739514,0.019782375653150823,0.0206465047857402,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.017412893800557428,1.0
max,5590.77,5612.91,1.0,1.0,5691.57,5432.05,3755235.6368422457,5490.0,6227785.0,32.03463203463202,39.3073593073593,10.163934426229511,52.86956521739129,16.065573770491813,42.77025485653181,22.534365879788563,0.0,77.53530166880617,5480.8097,5453.0,19627151.0,5590.77,72.92715280865323,69.55900621118013,519.7899159663864,82571504.06666666,66637698.14285714,1.016948145024794,0.8149302391613922,269.20512820512846,5466.90485,10082.320512820514,0.7753530166880617,16.792424471671918,15.138661860327172,3755.2356368422456,15.64453145039513,18.229175203993826,18.014781028558993,0.0,0.0,21.514903775032376,51.006211180124225,10329.261816250655,1615.7989228007157,1.0,1.0,519.7899159663864,72.92715280865323,1.0,1.0,280.40411758430025,1.0,1.0,1.0,8.0,3.0,4.0,1.0,1.0,1.0,1.6955900621118012,1.0,1.0,1.0,0.7753530166880617,1.0,1.0,8.375769512432466,1.0,3.2160688936984787,1.0,7.5512791116759495,336.41991924354915,298.09691014051225,7555.806302328271,4556.52829236012,151.75664095972581,519.7899159663864,0.29957589768657866,6.194917052042315,93413.83489944744,26920.512820512846,1.0,14.325259515570938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,519.7899159663864,,,0.8149302391613922,,,42.77025485653181,,0.37229437229437223,0.4277025485653181,0.10163934426229511,0.16065573770491814,0.32034632034632016,0.5286956521739129,0.39307359307359296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.09909909909898,1.0
